Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
133,o+g+f+l,following,FALSE,,,ogfl,0,,,o,,,g,f,,,l,,,f,o,l,,o,g,f,l,,,,,+,,,,,,Keep,following
134,o+w+d+a+l,download,FALSE,,,owdal,0,,,o,,,w,d,,a,l,,,d,o,w,,o,w,d,a,l,,,,+,,,,,,Keep,download
135,u+i+w+h+t,without,FALSE,,,uiwht,0,,u,i,,,w,h,,t,,,,w,i,t,,u,i,w,h,t,,,,+,,,,,,Keep,without
136,e+c+a+s,access,FALSE,,,ecas,0,,,,e,c,,,,a,,s,,a,c,c,,e,c,a,s,,,,,+,,,,,,Keep,access
137,i+k+h+t+n,think,FALSE,,,ikhtn,0,,,i,,k,,h,,t,n,,,t,h,i,,i,k,h,t,n,,,,+,,,,,,Keep,think
138,o+r+h+t+n,north,FALSE,,,orhtn,0,,,o,r,,,h,,t,n,,,n,o,r,,o,r,h,t,n,,,,+,,,,,,Keep,north
139,u+o+r+c+s,resources,FALSE,,,uorcs,0,,u,o,r,c,,,,,,s,,r,e,s,,u,o,r,c,s,,,,+,,,,,,Keep,resources
140,u+r+c+t+n,current,FALSE,,,urctn,0,,u,,r,c,,,,t,n,,,c,u,r,,u,r,c,t,n,,,,+,,,,,,Keep,current
142,i+e+m+d+a,media,FALSE,,,iemda,0,,,i,e,m,,d,,a,,,,m,e,d,,i,e,m,d,a,,,,+,,,,,,Keep,media
143,o+r+c+t+n,control,FALSE,,,orctn,0,,,o,r,c,,,,t,n,,,c,o,n,,o,r,c,t,n,,,,+,,,,,,Keep,control
144,r+w+a,water,FALSE,,,rwa,0,,,,r,,w,,,a,,,,w,a,t,,r,w,a,,,,,,+,,,,,,Keep,water
145,i+r+h+t+s,history,FALSE,,,irhts,0,,,i,r,,,h,,t,,s,,h,i,s,,i,r,h,t,s,,,,+,,,,,,Keep,history
146,u+i+r+c+p+t+s,pictures,FALSE,,,uircpts,0,,u,i,r,c,,p,,t,,s,,p,i,c,,u,i,r,c,p,t,s,,+,,,,,,Keep,pictures
147,o+e+p+a+l+s,personal,FALSE,,,oepals,0,,,o,e,,,p,,a,l,s,,p,e,r,,o,e,p,a,l,s,,,+,,,,,,Keep,personal
148,i+e+c+n+s,since,FALSE,,,iecns,0,,,i,e,c,,,,,n,s,,s,i,n,,i,e,c,n,s,,,,+,,,,,,Keep,since
149,u+i+c+g+d+n,including,FALSE,,,uicgdn,0,,u,i,,c,g,d,,,n,,,i,n,c,,u,i,c,g,d,n,,,+,,,,,,Keep,including
150,u+i+e+g+d,guide,FALSE,,,uiegd,0,,u,i,e,,g,d,,,,,,g,u,i,,u,i,e,g,d,,,,+,,,,,,Keep,guide
151,i+r+c+d+t+y,directory,FALSE,,,ircdty,0,,,i,r,c,,d,,t,,y,,d,i,r,,i,r,c,d,t,y,,,+,,,,,,Keep,directory
152,o+r+d+b+a,board,FALSE,,,ordba,0,,,o,r,,,d,b,a,,,,b,o,a,,o,r,d,b,a,,,,+,,,,,,Keep,board
153,o+c+a+l,location,FALSE,,,ocal,1,,,o,,c,,,,a,l,,,l,o,c,,o,c,a,l,,,,,+,,,,,,Keep,location
154,e+c+g+h+a+n,change,FALSE,,,ecghan,0,,,,e,c,g,h,,a,n,,,c,h,a,,e,c,g,h,a,n,,,+,,,,,,Keep,change
155,i+e+w+h+t,white,FALSE,,,iewht,0,,,i,e,,w,h,,t,,,,w,h,i,,i,e,w,h,t,,,,+,,,,,,Keep,white
156,m+a+l+s,small,FALSE,,,mals,0,,,,,m,,,,a,l,s,,s,m,a,,m,a,l,s,,,,,+,,,,,,Keep,small
157,i+r+g+a+n,rating,FALSE,,,irgan,0,,,i,r,,g,,,a,n,,,r,a,t,,i,r,g,a,n,,,,+,,,,,,Keep,rating
158,o+r+v+g+t+n,government,FALSE,,,orvgtn,0,,,o,r,v,g,,,t,n,,,g,o,v,,o,r,v,g,t,n,,,+,,,,,,Keep,government
159,i+r+c+h+l,children,FALSE,,,irchl,0,,,i,r,c,,h,,,l,,,c,h,i,,i,r,c,h,l,,,,+,,,,,,Keep,children
160,u+i+r+g+d+n,during,FALSE,,,uirgdn,0,,u,i,r,,g,d,,,n,,,d,u,r,,u,i,r,g,d,n,,,+,,,,,,Keep,during
161,u+r+t+n,return,FALSE,,,urtn,0,,u,,r,,,,,t,n,,,r,e,t,,u,r,t,n,,,,,+,,,,,,Keep,return
162,u+e+d+t+n+s,students,FALSE,,,uedtns,0,,u,,e,,,d,,t,n,s,,s,t,u,,u,e,d,t,n,s,,,+,,,,,,Keep,students
163,o+g+h+n+s,shopping,FALSE,,,oghns,0,,,o,,,g,h,,,n,s,,s,h,o,,o,g,h,n,s,,,,+,,,,,,Keep,shopping
164,u+o+c+a+n,account,FALSE,,,uocan,0,,u,o,,c,,,,a,n,,,a,c,c,,u,o,c,a,n,,,,+,,,,,,Keep,account
166,i+e+t+s,sites,FALSE,,,iets,0,,,i,e,,,,,t,,s,,s,i,t,,i,e,t,s,,,,,+,,,,,,Keep,sites
167,e+v+l,level,FALSE,,,evl,0,,,,e,v,,,,,l,,,l,e,v,,e,v,l,,,,,,+,,,,,,Keep,level
168,i+g+d+a+l,digital,FALSE,,,igdal,0,,,i,,,g,d,,a,l,,,d,i,g,,i,g,d,a,l,,,,+,,,,,,Keep,digital
169,o+r+p+l,profile,FALSE,,,orpl,0,,,o,r,,,p,,,l,,,p,r,o,,o,r,p,l,,,,,+,,,,,,Keep,profile
170,u+i+r+v+p+s,previous,FALSE,,,uirvps,0,,u,i,r,v,,p,,,,s,,p,r,e,,u,i,r,v,p,s,,,+,,,,,,Keep,previous
171,e+v+t+n+s,events,FALSE,,,evtns,0,,,,e,v,,,,t,n,s,,e,v,e,,e,v,t,n,s,,,,+,,,,,,Keep,events
172,u+o+r+h+s,hours,FALSE,,,uorhs,0,,u,o,r,,,h,,,,s,,h,o,u,,u,o,r,h,s,,,,+,,,,,,Keep,hours
173,i+e+m+g+a,image,FALSE,,,iemga,0,,,i,e,m,g,,,a,,,,i,m,a,,i,e,m,g,a,,,,+,,,,,,Keep,image
174,e+m+d+a+n,department,FALSE,,,emdan,0,,,,e,m,,d,,a,n,,,d,e,p,,e,m,d,a,n,,,,+,,,,,,Keep,department
175,i+e+t+l,title,FALSE,,,ietl,0,,,i,e,,,,,t,l,,,t,i,t,,i,e,t,l,,,,,+,,,,,,Keep,title
176,i+e+c+d+t+n+s,description,FALSE,,,iecdtns,0,,,i,e,c,,d,,t,n,s,,d,e,s,,i,e,c,d,t,n,s,,+,,,,,,Keep,description
177,u+i+r+c+a+n+s,insurance,FALSE,,,uircans,0,,u,i,r,c,,,,a,n,s,,i,n,s,,u,i,r,c,a,n,s,,+,,,,,,Keep,insurance
178,o+r+h+a+n,another,FALSE,,,orhan,0,,,o,r,,,h,,a,n,,,a,n,o,,o,r,h,a,n,,,,+,,,,,,Keep,another
